Code,Name,2014Median_price,2015Median_price,2016Median_price,2017Median_price,2018Median_price
20401,Upper Goulburn Valley,290000.0,267250.0,280000.0,297000.0,350000.0
20605,Port Phillip,1115000.0,1320000.0,1458000.0,1650000.0,1732500.0
20801,Bayside,1270000.0,1375000.0,1640000.0,1780000.0,1900000.0
20803,Kingston,659500.0,735000.0,840000.0,970000.0,1050000.0
20901,Banyule,600000.0,665000.0,765000.0,850000.0,900000.0
20102,Creswick - Daylesford - Ballan,350000.0,331500.0,360000.0,385000.0,425000.0
20202,Heathcote - Castlemaine - Kyneton,389000.0,375000.0,395000.0,429750.0,467500.0
20302,Geelong,375000.0,375000.0,395000.0,430000.0,495000.0
20303,Surf Coast - Bellarine Peninsula,531800.0,525000.0,564500.0,595000.0,651000.0
20501,Baw Baw,320000.0,305000.0,327500.0,338000.0,406250.0
21201,Cardinia,370000.0,360000.0,386000.0,435562.5,530000.0
20503,Gippsland - South West,335000.0,310000.0,325000.0,342000.0,379000.0
21203,Casey - South,387750.0,385000.0,430000.0,480000.0,575000.0
20601,Brunswick - Coburg,710500.0,771050.0,865000.0,1025000.0,1080000.0
20602,Darebin - South,875000.0,960000.0,1111000.0,1211000.0,1350000.0
20603,Essendon,840000.0,940000.0,1050000.0,1250000.0,1312500.0
20604,Melbourne City,790000.0,917500.0,1121000.0,1192500.0,1350000.0
20701,Boroondara,1485000.0,1800000.0,1960000.0,2150000.0,2230000.0
20606,Stonnington - West,1429000.0,1730000.0,2040000.0,2150000.0,2215000.0
20702,Manningham - West,850000.0,1020000.0,1198000.0,1300000.0,1331500.0
20607,Yarra,900000.0,1100000.0,1185000.0,1350000.0,1395500.0
20703,Whitehorse - West,825500.0,1010000.0,1175000.0,1290000.0,1333500.0
20802,Glen Eira,960000.0,1130000.0,1324000.0,1415000.0,1502500.0
20804,Stonnington - East,1405000.0,1755000.0,1921000.0,2118500.0,2140000.0
20902,Darebin - North,590000.0,630000.0,710000.0,825500.0,880000.0
20903,Nillumbik - Kinglake,625000.0,626500.0,675000.0,785000.0,880000.0
20904,Whittlesea - Wallan,405000.0,415000.0,452500.0,510000.0,615000.0
21001,Keilor,598000.0,650000.0,750000.0,845000.0,925000.0
21002,Macedon Ranges,512500.0,475000.0,500000.0,523000.0,625000.0
21003,Moreland - North,506000.0,545000.0,612500.0,710000.0,805000.0
21004,Sunbury,365000.0,350500.0,375000.0,420000.0,530000.0
21005,Tullamarine - Broadmeadows,361000.0,385000.0,410000.0,455500.0,557750.0
21101,Knox,540750.0,613000.0,695000.0,770000.0,840000.0
21102,Manningham - East,910000.0,875000.0,983000.0,1085000.0,1200000.0
21103,Maroondah,571900.0,628000.0,720000.0,810000.0,870000.0
21104,Whitehorse - East,700000.0,819750.0,921800.0,1040500.0,1090000.0
21105,Yarra Ranges,450000.0,470000.0,541733.0,610000.0,681000.0
21202,Casey - North,420000.0,443500.0,498000.0,570000.0,650000.0
21204,Dandenong,455750.0,506000.0,599000.0,684645.5,745000.0
21205,Monash,800000.0,978000.0,1100900.0,1200000.0,1250000.0
21301,Brimbank,389500.0,410000.0,471500.0,567000.0,632000.0
21302,Hobsons Bay,585000.0,645000.0,740000.0,870000.0,930000.0
21303,Maribyrnong,630000.0,690000.0,765000.0,900000.0,935000.0
21304,Melton - Bacchus Marsh,366500.0,362739.0,380000.0,410000.0,488500.0
21305,Wyndham,372000.0,375000.0,410000.0,475000.0,555000.0
21401,Frankston,391000.0,420000.0,470000.0,560000.0,630000.0
21402,Mornington Peninsula,536500.0,537500.0,590750.0,680000.0,770000.0
