Code,Name,2014Total_population,2014Population_density(person/km2),2015Total_population,2015Population_density(person/km2),2016Total_population,2016Population_density(person/km2),2017Total_population,2017Population_density(person/km2),2018Total_population,2018Population_density(person/km2)
20607,Yarra,88037,4270.3,90752,4402.0,93743,4547.0,96669,4689.0,99294,4816.3
20701,Boroondara,172660,2876.9,174753,2911.8,177276,2953.8,179650,2993.4,181349,3021.7
20802,Glen Eira,151442,3720.9,153806,3779.0,156621,3848.2,159641,3922.4,162206,3985.4
20803,Kingston,118330,1693.7,120210,1720.6,122711,1756.4,124548,1782.7,126577,1811.8
20102,Creswick - Daylesford - Ballan,28119,7.7,28394,7.7,28730,7.8,28979,7.9,29309,8.0
20202,Heathcote - Castlemaine - Kyneton,46262,11.8,47120,12.0,48091,12.3,48821,12.5,49603,12.7
20302,Geelong,185558,201.9,188762,205.4,193146,210.2,197530,215.0,201938,219.8
20303,Surf Coast - Bellarine Peninsula,68202,73.3,70891,76.2,73928,79.5,76674,82.4,79675,85.7
20401,Upper Goulburn Valley,52885,3.8,53619,3.8,54551,3.9,55366,4.0,56293,4.0
20501,Baw Baw,46791,11.9,47987,12.2,49446,12.6,50780,12.9,52107,13.2
20503,Gippsland - South West,60602,13.8,61518,14.0,62742,14.3,63832,14.6,65023,14.8
20601,Brunswick - Coburg,88035,4312.6,89876,4402.8,91941,4504.0,94546,4631.6,97285,4765.8
20602,Darebin - South,53480,3812.5,54380,3876.7,55436,3952.0,56519,4029.2,57441,4094.9
20603,Essendon,67305,3695.0,68764,3775.1,70335,3861.4,71954,3950.3,73553,4038.0
20604,Melbourne City,127975,4067.6,136873,4350.4,146099,4643.6,159264,5062.1,170358,5414.7
20605,Port Phillip,104462,4065.3,106392,4140.4,108637,4227.8,110622,4305.1,113257,4407.6
20606,Stonnington - West,63128,5291.8,64845,5435.7,67280,5639.8,69308,5809.8,71187,5967.4
20702,Manningham - West,92613,1902.8,93829,1927.8,95361,1959.2,96881,1990.5,98065,2014.8
20703,Whitehorse - West,103254,2713.3,104888,2756.2,106953,2810.5,109510,2877.7,111832,2938.7
20801,Bayside,99797,2681.9,101268,2721.4,102912,2765.6,104282,2802.4,105745,2841.8
20804,Stonnington - East,42766,3116.6,43183,3147.0,43723,3186.3,44464,3240.3,45094,3286.3
20901,Banyule,125107,1998.1,126088,2013.8,127447,2035.5,129184,2063.2,130319,2081.3
20902,Darebin - North,96031,2434.6,97594,2474.3,99690,2527.4,102232,2591.9,104212,2642.1
20903,Nillumbik - Kinglake,67289,89.5,67597,89.9,68158,90.7,68597,91.2,68994,91.8
20904,Whittlesea - Wallan,202758,203.3,212533,213.1,223805,224.4,233152,233.8,241792,242.4
21001,Keilor,59250,1396.6,60338,1422.2,61513,1449.9,62462,1472.3,63427,1495.0
21002,Macedon Ranges,29161,29.4,29828,30.1,30674,30.9,31306,31.6,31892,32.1
21003,Moreland - North,75258,2477.4,77168,2540.3,79507,2617.3,81711,2689.8,83726,2756.1
21004,Sunbury,39320,150.8,39949,153.2,40924,157.0,41758,160.2,42770,164.1
21005,Tullamarine - Broadmeadows,154167,524.2,160525,545.8,168560,573.1,176079,598.7,184431,627.1
21101,Knox,157479,1331.2,158746,1341.9,160400,1355.9,161798,1367.7,163185,1379.4
21102,Manningham - East,26937,404.7,27080,406.8,27328,410.6,27451,412.4,27535,413.7
21103,Maroondah,110980,1813.8,112574,1839.8,114347,1868.8,115952,1895.0,117141,1914.5
21104,Whitehorse - East,61810,2326.3,62542,2353.9,63443,2387.8,64484,2427.0,65182,2453.3
21105,Yarra Ranges,151128,94.1,152549,95.0,154411,96.2,156036,97.2,157323,98.0
21201,Cardinia,88250,68.8,92476,72.1,97736,76.2,102682,80.1,107385,83.7
21202,Casey - North,133489,1145.8,135039,1159.1,137253,1178.1,139097,1193.9,140594,1206.8
21203,Casey - South,154448,527.3,164489,561.5,175536,599.3,187674,640.7,199849,682.3
21204,Dandenong,188015,1244.7,192095,1271.7,196452,1300.6,200021,1324.2,203015,1344.0
21205,Monash,178402,2244.8,181292,2281.2,184587,2322.6,188738,2374.9,191926,2415.0
21301,Brimbank,189666,1775.1,191978,1796.7,195201,1826.9,197881,1852.0,199615,1868.2
21302,Hobsons Bay,85560,1375.2,86808,1395.3,88419,1421.2,89716,1442.0,90947,1461.8
21303,Maribyrnong,82463,2640.9,84783,2715.2,86942,2784.3,89362,2861.8,91413,2927.5
21304,Melton - Bacchus Marsh,146728,218.4,152820,227.4,159962,238.1,167719,249.6,176226,262.3
21305,Wyndham,206369,379.3,218681,401.9,232034,426.4,246426,452.9,260901,479.5
21401,Frankston,136181,1050.8,137790,1063.2,139502,1076.4,140718,1085.8,141847,1094.5
21402,Mornington Peninsula,156500,216.1,158831,219.3,161528,223.1,163834,226.2,165823,229.0
